,animal_id,bin_timestamp,latitude,longitude,record_type
136,16176001,5/22/2014 22:59,41.70127288,-82.95040709,interpolated
137,16176001,5/23/2014 1:59,41.70249093,-82.94918905,interpolated
138,16176001,5/23/2014 4:59,41.70370898,-82.947971,interpolated
139,16176001,5/23/2014 7:59,41.70492703,-82.94675295,interpolated
140,16176001,5/23/2014 10:59,41.70579421,-82.94509155,interpolated
141,16176001,5/23/2014 13:59,41.70663904,-82.94340189,interpolated
142,16176001,5/23/2014 16:59,41.70748387,-82.94171224,interpolated
143,16176001,5/23/2014 19:59,41.7083287,-82.94002258,interpolated
144,16176001,5/23/2014 22:59,41.70917353,-82.93833292,interpolated
145,16176001,5/24/2014 1:59,41.71001836,-82.93664326,interpolated
146,16176001,5/24/2014 4:59,41.71086323,-82.93495352,interpolated
147,16176001,5/24/2014 7:59,41.7117081,-82.93326377,interpolated
148,16176001,5/24/2014 10:59,41.71255298,-82.93157402,interpolated
149,16176001,5/24/2014 13:59,41.71339785,-82.92988428,interpolated
150,16176001,5/24/2014 16:59,41.71424272,-82.92819453,interpolated
151,16176001,5/24/2014 19:59,41.7150876,-82.92650477,interpolated
152,16176001,5/24/2014 22:59,41.71593252,-82.92481494,interpolated
153,16176001,5/25/2014 1:59,41.71677744,-82.9231251,interpolated
154,16176001,5/25/2014 4:59,41.71762236,-82.92143526,interpolated
155,16176001,5/25/2014 7:59,41.71846727,-82.91974543,interpolated
156,16176001,5/25/2014 10:59,41.71931219,-82.91805559,interpolated
157,16176001,5/25/2014 13:59,41.72015712,-82.91636574,interpolated
158,16176001,5/25/2014 16:59,41.72100208,-82.91467581,interpolated
159,16176001,5/25/2014 19:59,41.72184705,-82.91298588,interpolated
160,16176001,5/25/2014 22:59,41.72269201,-82.91129596,interpolated
161,16176001,5/26/2014 1:59,41.72353697,-82.90960603,interpolated
162,16176001,5/26/2014 4:59,41.72438194,-82.9079161,interpolated
163,16176001,5/26/2014 7:59,41.72522691,-82.90622615,interpolated
164,16176001,5/26/2014 10:59,41.72607192,-82.90453613,interpolated
165,16176001,5/26/2014 13:59,41.72691693,-82.90284612,interpolated
166,16176001,5/26/2014 16:59,41.72776194,-82.9011561,interpolated
167,16176001,5/26/2014 19:59,41.72860695,-82.89946608,interpolated
168,16176001,5/26/2014 22:59,41.72945196,-82.89777606,interpolated
169,16176001,5/27/2014 1:59,41.73029698,-82.89608601,interpolated
170,16176001,5/27/2014 4:59,41.73114203,-82.89439591,interpolated
171,16176001,5/27/2014 7:59,41.73198709,-82.8927058,interpolated
172,16176001,5/27/2014 10:59,41.73283214,-82.89101569,interpolated
173,16176001,5/27/2014 13:59,41.7336772,-82.88932559,interpolated
174,16176001,5/27/2014 16:59,41.73452225,-82.88763548,interpolated
175,16176001,5/27/2014 19:59,41.73536732,-82.88594533,interpolated
176,16176001,5/27/2014 22:59,41.73621242,-82.88425513,interpolated
177,16176001,5/28/2014 1:59,41.73705752,-82.88256494,interpolated
178,16176001,5/28/2014 4:59,41.73790262,-82.88087474,interpolated
179,16176001,5/28/2014 7:59,41.73874772,-82.87918454,interpolated
180,16176001,5/28/2014 10:59,41.73959282,-82.87749434,interpolated
